"","gamma","beta","sigma2","cand.ratio","cand.like","cand.prior"
"1",0.330296838132949,0.895713487359066,8.45881607607329e-05,-4.25560766756382,9.84995445547943e+67,0.25002114793461
"2",0.330076255942632,0.895832201645531,8.45881607607329e-05,-39.3194746505348,8.05394018255432e+52,0.25002114793461
"3",0.330076255942632,0.895832201645531,0.000111295833397608,-0.295335119882111,7.14458255646488e+69,0.25002114793461
"4",0.330456584540338,0.896610140715286,0.000115653688859114,-0.198517237648616,1.04275216998623e+70,0.250027825506752
"5",0.330619642881196,0.896541569859472,0.000112942756690445,0.123185834554704,1.04659370777888e+70,0.250028915094251
"6",0.330829031317916,0.896449860893963,0.000112942756690445,-4.95985076973926,6.07296225478871e+67,0.250028237283741
"7",0.330829031317916,0.896449860893963,0.000112942756690445,-8.55518574745028,1.66711838314241e+66,0.250028237283741
"8",0.329929431211681,0.898054189648036,0.000112942756690445,-3.8507942606264,4.86284263110722e+68,0.250028237283741
"9",0.330557123880366,0.898291918640143,0.000112942756690445,-7.6160149610281,1.38144376209099e+67,0.250028237283741
"10",0.330626531348148,0.897885988057602,0.000105797389842572,0.339308726624722,3.52244807574341e+70,0.250028237283741
"11",0.330409686903757,0.898274173081953,0.0001144758192948,-0.425855865571009,2.49642076037658e+70,0.250026450746646
"12",0.33036216200336,0.897284424522638,0.0001144758192948,-9.87095958111169,9.15649712120502e+65,0.250028620592975
"13",0.329887800082763,0.897457938510738,0.0001144758192948,-4.090488241261,3.12050600347563e+68,0.250028620592975
"14",0.329200917595549,0.898165058808509,0.0001144758192948,-3.73712695787037,3.46530422229048e+68,0.250028620592975
"15",0.328817183764102,0.898368267371443,0.0001144758192948,-11.6281699940033,9.07120875248728e+64,0.250028620592975
"16",0.329160653829702,0.898489675244047,0.0001144758192948,-9.1976599756849,1.30874381989214e+66,0.250028620592975
"17",0.329215802937412,0.89850481991859,0.0001144758192948,-9.86536003514428,6.96990584043042e+65,0.250028620592975
"18",0.329811035868766,0.899743924723344,0.000111685658389451,0.128930823791592,1.41593187082329e+70,0.250028620592975
"19",0.329126470979804,0.899633670893125,0.000111685658389451,-3.68730910695547,1.81629980126376e+68,0.250027922973866
"20",0.329325467197704,0.900130256759055,0.000111685658389451,-0.201882142524966,4.89783013567e+69,0.250027922973866
"21",0.329992468956357,0.89997798828179,0.000111685658389451,-17.2906942873667,4.50357292278594e+62,0.250027922973866
"22",0.330011888497822,0.900397720477029,0.000111685658389451,-11.2245042620439,1.45041686644999e+65,0.250027922973866
"23",0.329808091929289,0.899622265555314,0.000111685658389451,-9.47603024656433,1.16562767663334e+66,0.250027922973866
"24",0.329808091929289,0.899622265555314,0.000111685658389451,-219.408063520881,7.83855888118396e-26,0.250027922973866
"25",0.329847095544346,0.899549117306024,0.000111685658389451,-2.34474834108207,1.57433554457429e+69,0.250027922973866
"26",0.331062727008502,0.899980452336927,0.000111685658389451,-36.4090627121724,5.17293972481427e+54,0.250027922973866
"27",0.331062727008502,0.899980452336927,0.000111685658389451,-23.3913208248611,2.32954383261928e+60,0.250027922973866
"28",0.331062727008502,0.899980452336927,0.000111685658389451,-5.83294265250177,9.83507413629803e+67,0.250027922973866
"29",0.330889662636888,0.899827240343593,0.000111685658389451,-14.2552177137137,2.04631860324405e+64,0.250027922973866
"30",0.331287099211773,0.899756275561597,0.000100382110668581,0.528397562117192,6.67679230593324e+70,0.250027922973866
"31",0.331287099211773,0.899756275561597,0.000100382110668581,-0.717993559068873,3.25650789366979e+70,0.25002509678728
"32",0.331095093689846,0.89916674995225,0.000100382110668581,-6.94372815732547,6.16605731427552e+67,0.25002509678728
"33",0.330275399692811,0.899536789924063,0.000100382110668581,-0.60783135628364,2.03882121292257e+70,0.25002509678728
"34",0.329923314368432,0.899930711587051,0.000100382110668581,-433.250345162149,1.47007692360005e-118,0.25002509678728
"35",0.329923314368432,0.899930711587051,0.000100382110668581,-12.6888572279427,6.52940445461111e+64,0.25002509678728
"36",0.329749783169788,0.899163597883129,0.000100382110668581,-5.64900690004026,9.96448328719071e+67,0.25002509678728
"37",0.329528539631244,0.898059829747209,0.000100382110668581,-10.2674600123325,1.12075720998589e+66,0.25002509678728
"38",0.329528539631244,0.898059829747209,0.000100382110668581,-7.8466092788824,1.26146050124858e+67,0.25002509678728
"39",0.329164721538788,0.897681182992476,9.69733335578689e-05,0.0883820078655049,2.90760168551703e+70,0.25002509678728
"40",0.327836197547037,0.896313782930295,9.69733335578689e-05,-3.12663713509531,5.3542293528392e+68,0.250024244508906
"41",0.328009831323516,0.896513044764345,9.69733335578689e-05,-12.3904731457639,5.76385197284658e+64,0.250024244508906
"42",0.328009831323516,0.896513044764345,9.69733335578689e-05,-38862.6429655484,0,0.250024244508906
"43",0.328604238873003,0.896681779953976,0.000114646363124249,-0.606411958929698,1.07825408952095e+70,0.250024244508906
